post_title,post_name,post_parent,ID,post_content,post_excerpt,post_status,post_password,menu_order,post_date,post_author,comment_status,sku,parent_sku,children,downloadable,virtual,stock,regular_price,sale_price,weight,length,width,height,tax_class,visibility,stock_status,backorders,sold_individually,low_stock_amount,manage_stock,tax_status,upsell_ids,crosssell_ids,purchase_note,sale_price_dates_from,sale_price_dates_to,download_limit,download_expiry,product_url,button_text,images,downloadable_files,product_page_url,tax:product_type,tax:product_visibility,tax:product_cat,tax:product_tag,tax:product_shipping_class,attribute:pa_material,attribute_data:pa_material,attribute_default:pa_material,attribute:pa_metal,attribute_data:pa_metal,attribute_default:pa_metal,attribute:pa_metal-purity,attribute_data:pa_metal-purity,attribute_default:pa_metal-purity,attribute:pa_shape,attribute_data:pa_shape,attribute_default:pa_shape,attribute:pa_style,attribute_data:pa_style,attribute_default:pa_style
"Cancer Necklace in 18K Rose Gold with Diamond and Sapphire",cancer-necklace-in-18k-rose-gold-with-diamond-and-sapphire,,26786,"Cancer Necklace from the Zodiac Collection
<ul>
 	<li>750 gold</li>
 	<li>Diamond</li>
 	<li>Sapphire</li>
 	<li>Customisable</li>
</ul>
Style: P31905KP18SA",,publish,,0,"2022-01-21 14:33:12",2,closed,P31905KP18SA,,,no,no,,500,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"https://eji.com.hk/wp-content/uploads/2022/01/P31905KP18SA-巨蟹座.jpg ! alt : cancer zodiac necklace in 18k rose gold diamond sapphire ! title : P31905KP18SA cancer zodiac necklace in 18k rose gold diamond sapphire ! desc :  ! caption :  | https://eji.com.hk/wp-content/uploads/2022/01/P31905KP18SA-巨蟹座-scale.jpg ! alt : cancer necklace in 18k rose gold diamond sapphire ! title : P31905KP18SA cancer necklace in 18k rose gold diamond sapphire-scale ! desc :  ! caption : ",,https://eji.com.hk/product/cancer-necklace-in-18k-rose-gold-with-diamond-and-sapphire/,simple,,"Necklaces & Pendants",zodiac,,Diamond|Sapphire,0|1|0,,"Rose Gold",2|1|0,,14k|18k,1|1|0,,,,,,,
"Gemini Necklace in 18K Rose Gold with Diamond and Fancy Sapphire",gemini-necklace-in-18k-rose-gold-with-diamond-and-fancy-sapphire,,26788,"Gemini Necklace from the Zodiac Collection
<ul>
 	<li>750 gold</li>
 	<li>Diamond</li>
 	<li>Fancy sapphire</li>
 	<li>Customisable</li>
</ul>
Style: P31904KP18SP",,publish,,0,"2022-01-21 14:39:24",2,closed,P31904KP18SP,,,no,no,,500,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"https://eji.com.hk/wp-content/uploads/2022/01/P31904KP18SP-双子座.jpg ! alt : Gemini 18k rose gold diamond fancy sapphire ! title : P31904KP18SP gemini 18k rose gold diamond fancy sapphire ! desc :  ! caption :  | https://eji.com.hk/wp-content/uploads/2022/01/P31904KP18SP-双子座-scale.jpg ! alt :  ! title : P31904KP18SP 双子座-scale ! desc :  ! caption : ",,https://eji.com.hk/product/gemini-necklace-in-18k-rose-gold-with-diamond-and-fancy-sapphire/,simple,,"Necklaces & Pendants",zodiac,,Diamond|Sapphire,0|1|0,,"Rose Gold",2|1|0,,14k|18k,1|1|0,,,,,,,
"Taurus Necklace in 18K Rose Gold with Diamond and Green Garnet",taurus-necklace-in-18k-rose-gold-with-diamond-and-green-garnet,,26790,"Gemini Necklace from the Zodiac Collection
<ul>
 	<li>750 gold</li>
 	<li>Diamond</li>
 	<li>Green garnet</li>
 	<li>Customisable</li>
</ul>
Style: P31903KP18GG",,publish,,0,"2022-01-21 14:42:46",2,closed,P31903KP18GG,,,no,no,,500,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"https://eji.com.hk/wp-content/uploads/2022/01/P31903KP18GG-金牛座.jpg ! alt : Taurus necklace in 18k rose gold diamond green garnet ! title : P31903KP18GG Taurus necklace in 18k rose gold diamond green garnet ! desc :  ! caption :  | https://eji.com.hk/wp-content/uploads/2022/01/P31903KP18GG-金牛座-scale.jpg ! alt : Taurus necklace in 18k rose gold diamond green garnet scale ! title : P31903KP18GG Taurus necklace in 18k rose gold diamond green garnet-scale ! desc :  ! caption : ",,https://eji.com.hk/product/taurus-necklace-in-18k-rose-gold-with-diamond-and-green-garnet/,simple,,"Necklaces & Pendants",zodiac,,"Diamond|Green garnet",0|1|0,,"Rose Gold",2|1|0,,14k|18k,1|1|0,,,,,,,
"Aries Necklace in 18K Rose Gold with Diamond and Ruby",aries-necklace-in-18k-rose-gold-with-diamond-and-ruby,,26792,"Aries Necklace from the Zodiac Collection
<ul>
 	<li>750 gold</li>
 	<li>Diamond</li>
 	<li>Ruby</li>
 	<li>Customisable</li>
</ul>
Style: P31902KP18RB",,publish,,0,"2022-01-21 14:45:16",2,closed,P31902KP18RB,,,no,no,,500,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"https://eji.com.hk/wp-content/uploads/2022/01/P31902KP18RB-白羊座.jpg ! alt : Aries Necklace in 18K Rose Gold with Diamond and Ruby ! title : P31902KP18RB Aries Necklace in 18K Rose Gold with Diamond and Ruby ! desc :  ! caption :  | https://eji.com.hk/wp-content/uploads/2022/01/P31902KP18RB-白羊座-scale.jpg ! alt : Aries Necklace in 18K Rose Gold with Diamond and Ruby scale ! title : P31902KP18RB Aries Necklace in 18K Rose Gold with Diamond and Ruby-scale ! desc :  ! caption : ",,https://eji.com.hk/product/aries-necklace-in-18k-rose-gold-with-diamond-and-ruby/,simple,,"Necklaces & Pendants",zodiac,,Diamond|Ruby,0|1|0,,"Rose Gold",2|1|0,,14k|18k,1|1|0,,,,,,,
"Diamond Enamel Pendant with Rolo Chain",,,27154,"Claw/ Prong",,draft,,0,"2022-03-16 10:40:46",2,open,P24576GC18V01001,,,no,no,,840,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,,,https://eji.com.hk/?post_type=product&p=27154,simple,,,,,,,,,,,,,,,,,,,
"Citrine Diamond Pendant",,,27155,"Claw/ Prong, 1 Citrine4.40 ct",,draft,,0,"2022-03-16 10:40:46",2,open,P26230KW14CT001,,,no,no,,415,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,,,https://eji.com.hk/?post_type=product&p=27155,simple,,,,,,,,,,,,,,,,,,,
"Blue Topaz Diamond Pendant",,,27156,"Claw/ Prong, 1 Blue Topaz9.12 ct",,draft,,0,"2022-03-16 10:40:46",2,open,P26231KW14TB001,,,no,no,,630,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,,,https://eji.com.hk/?post_type=product&p=27156,simple,,,,,,,,,,,,,,,,,,,
"Pink Sapphire Diamond Pendant with Belcher Chain",,,27157,"Mirco-Pave, 1 Round Pink Sapphire 0.19 CT ",,draft,,0,"2022-03-16 10:40:46",2,open,P28041KP18SP001,,,no,no,,470,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,,,https://eji.com.hk/?post_type=product&p=27157,simple,,,,,,,,,,,,,,,,,,,
"Diamond Pendant with Shinny Cut Chain",,,27159,Mirco-Pave,,draft,,0,"2022-03-16 10:40:46",2,open,P28078GW18DD003,,,no,no,,325,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,,,https://eji.com.hk/?post_type=product&p=27159,simple,,,,,,,,,,,,,,,,,,,
"Diamond Earring",,,27160,"Claw/ Prong",,draft,,0,"2022-03-16 10:40:47",2,open,P25908KP18DD001,,,no,no,,935,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,,,https://eji.com.hk/?post_type=product&p=27160,simple,,,,,,,,,,,,,,,,,,,
"Sapphire Diamond Pendant with Rolo Chain",,,27161,"Claw/ Prong, 3 Marquise Sapphire 0.37 CT",,draft,,0,"2022-03-16 10:40:47",2,open,P28012GW18SA001,,,no,no,,1250,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,,,https://eji.com.hk/?post_type=product&p=27161,simple,,,,,,,,,,,,,,,,,,,
"Sapphire Diamond Pendant with Rolo Chain",,,27162,"Mirco-Pave, 1 Octagon Sapphire 0.82 CT ",,draft,,0,"2022-03-16 10:40:47",2,open,P27667KY18SA001,,,no,no,,1675,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,,,https://eji.com.hk/?post_type=product&p=27162,simple,,,,,,,,,,,,,,,,,,,
"Ruby Diamond Pendant with Rolo Chain",,,27163,"Mirco-Pave, 1 Pear Shape Ruby 0.45 CT ",,draft,,0,"2022-03-16 10:40:47",2,open,P27668KP18RB001,,,no,no,,925,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,,,https://eji.com.hk/?post_type=product&p=27163,simple,,,,,,,,,,,,,,,,,,,
"Diamond Pendant with Shinny Cut Chain",,,27164,"Claw/ Prong",,draft,,0,"2022-03-16 10:40:47",2,open,P28051GW18DD000,,,no,no,,875,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,,,https://eji.com.hk/?post_type=product&p=27164,simple,,,,,,,,,,,,,,,,,,,
"Diamond Pendant with Shinny Cut Chain",,,27165,"Claw/ Prong",,draft,,0,"2022-03-16 10:40:47",2,open,P28052GW18DD000,,,no,no,,845,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,,,https://eji.com.hk/?post_type=product&p=27165,simple,,,,,,,,,,,,,,,,,,,
"Diamond Pendant with Belcher Chain",,,27166,"Claw/ Prong",,draft,,0,"2022-03-16 10:40:47",2,open,P28045KP18DD001,,,no,no,,430,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,,,https://eji.com.hk/?post_type=product&p=27166,simple,,,,,,,,,,,,,,,,,,,
"Diamond Pendant with Shinny Cut Chain",,,27167,"Claw/ Prong",,draft,,0,"2022-03-16 10:40:47",2,open,P28047GW18DD000,,,no,no,,565,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,,,https://eji.com.hk/?post_type=product&p=27167,simple,,,,,,,,,,,,,,,,,,,
"Diamond Pendant with Shinny Cut Chain",,,27168,"Claw/ Prong",,draft,,0,"2022-03-16 10:40:47",2,open,P37178GW18DD000,,,no,no,,285,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,,,https://eji.com.hk/?post_type=product&p=27168,simple,,,,,,,,,,,,,,,,,,,
"Diamond Pendant",,,27169,"Claw/ Prong",,draft,,0,"2022-03-16 10:40:47",2,open,P32535GW18DD001,,,no,no,,795,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,,,https://eji.com.hk/?post_type=product&p=27169,simple,,,,,,,,,,,,,,,,,,,
"Diamond Pendant with Rolo Chain",,,27170,"Claw/ Prong",,draft,,0,"2022-03-16 10:40:47",2,open,P24087GW18DD001,,,no,no,,775,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,,,https://eji.com.hk/?post_type=product&p=27170,simple,,,,,,,,,,,,,,,,,,,
"Diamond Pendant with Rolo Chain",,,27171,"Claw/ Prong",,draft,,0,"2022-03-16 10:40:47",2,open,PA24075GW18DD001,,,no,no,,1230,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,,,https://eji.com.hk/?post_type=product&p=27171,simple,,,,,,,,,,,,,,,,,,,
"Diamond Pendant with Shinny Cut Chain",,,27172,Mirco-Pave,,draft,,0,"2022-03-16 10:40:47",2,open,P39310KP18DD000,,,no,no,,360,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,,,https://eji.com.hk/?post_type=product&p=27172,simple,,,,,,,,,,,,,,,,,,,
"Diamond Pendant with Rolo Chain",,,27173,Mirco-Pave,,draft,,0,"2022-03-16 10:40:47",2,open,P24814GW18DD001,,,no,no,,1030,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,,,https://eji.com.hk/?post_type=product&p=27173,simple,,,,,,,,,,,,,,,,,,,
"Diamond Pendant with Rolo Chain",,,27174,Mirco-Pave,,draft,,0,"2022-03-16 10:40:47",2,open,P25086GW18DD002,,,no,no,,990,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,,,https://eji.com.hk/?post_type=product&p=27174,simple,,,,,,,,,,,,,,,,,,,
"Diamond Pendant with Shinny Cut Chain",,,27175,Mirco-Pave,,draft,,0,"2022-03-16 10:40:48",2,open,P27391GW18DD000,,,no,no,,650,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,,,https://eji.com.hk/?post_type=product&p=27175,simple,,,,,,,,,,,,,,,,,,,
"Diamond Pendant with Shinny Cut Chain",,,27176,Mirco-Pave,,draft,,0,"2022-03-16 10:40:48",2,open,P27228KP18DD001,,,no,no,,2480,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,,,https://eji.com.hk/?post_type=product&p=27176,simple,,,,,,,,,,,,,,,,,,,
"Diamond Pendant with Rolo Chain",,,27177,Mirco-Pave,,draft,,0,"2022-03-16 10:40:48",2,open,P24815GW18DD001,,,no,no,,2002,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,,,https://eji.com.hk/?post_type=product&p=27177,simple,,,,,,,,,,,,,,,,,,,
"Red Agate Ruby Diamond Pendant with Shinny Cut Chain",,,27178,"Mirco-Pave, 1 Round Ruby 0.05 ct
1 Red Agate 1.01 ct",,draft,,0,"2022-03-16 10:40:48",2,open,P38432KP18AD001,,,no,no,,300,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,,,https://eji.com.hk/?post_type=product&p=27178,simple,,,,,,,,,,,,,,,,,,,
"Pink Mother of Pearl Ruby Diamond Pendant with Shinny Cut Chain",,,27179,"Mirco-Pave, 1 Round Ruby 0.08 ct
5 Pink Mother of Pearl 1.65 ct",,draft,,0,"2022-03-16 10:40:48",2,open,P38433KP18MP001,,,no,no,,280,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,,,https://eji.com.hk/?post_type=product&p=27179,simple,,,,,,,,,,,,,,,,,,,
"Sapphire Diamond Pendant",,,27180,"Claw/ Prong, 1 Oval Sapphire 0.50 ct",,draft,,0,"2022-03-16 10:40:48",2,open,PA05201GW18SA002,,,no,no,,695,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,,,https://eji.com.hk/?post_type=product&p=27180,simple,,,,,,,,,,,,,,,,,,,
