product_name,product_slug,post_parent,ID,post_status,sku,stock,visibility,stock_status,product_url,product_page_url,tax:product_brand,tax:product_type,tax:product_visibility,tax:product_cat,tax:product_tag,tax:product_shipping_class,tax:giftcard-category,tax:translation_priority,attribute:pa_material,attribute_data:pa_material,attribute:pa_metal,attribute_data:pa_metal,attribute:pa_metal-purity,attribute_data:pa_metal-purity,attribute:pa_shape,attribute_data:pa_shape,attribute:pa_style,attribute_data:pa_style
"Cancer Necklace in 18K Rose Gold with Diamond and Sapphire",cancer-necklace-in-18k-rose-gold-with-diamond-and-sapphire,,26786,publish,P31905KP18SA,,,instock,,https://eji.com.hk/product/cancer-necklace-in-18k-rose-gold-with-diamond-and-sapphire/,,simple,,,zodiac,,,,Diamond|Sapphire,0|1|0,"Rose Gold",2|1|0,"14k 585|18k 750",1|1|0,,,,
"Gemini Necklace in 18K Rose Gold with Diamond and Fancy Sapphire",gemini-necklace-in-18k-rose-gold-with-diamond-and-fancy-sapphire,,26788,publish,P31904KP18SP,,,instock,,https://eji.com.hk/product/gemini-necklace-in-18k-rose-gold-with-diamond-and-fancy-sapphire/,,simple,,,zodiac,,,,Diamond|Sapphire,0|1|0,"Rose Gold",2|1|0,"14k 585|18k 750",1|1|0,,,,
"Taurus Necklace in 18K Rose Gold with Diamond and Green Garnet",taurus-necklace-in-18k-rose-gold-with-diamond-and-green-garnet,,26790,publish,P31903KP18GG,,,instock,,https://eji.com.hk/product/taurus-necklace-in-18k-rose-gold-with-diamond-and-green-garnet/,,simple,,,zodiac,,,,"Diamond|Green garnet",0|1|0,"Rose Gold",2|1|0,"14k 585|18k 750",1|1|0,,,,
"Aries Necklace in 18K Rose Gold with Diamond and Ruby",aries-necklace-in-18k-rose-gold-with-diamond-and-ruby,,26792,publish,P31902KP18RB,,,instock,,https://eji.com.hk/product/aries-necklace-in-18k-rose-gold-with-diamond-and-ruby/,,simple,,,zodiac,,,,Diamond|Ruby,0|1|0,"Rose Gold",2|1|0,"14k 585|18k 750",1|1|0,,,,
"Mother of Pearl Diamond Bangle in 18K Rose Gold",slim-mother-of-pearl-diamond-bangle-in-18k-rose-gold,,27192,publish,B27706KP18MW001,,,instock,,https://eji.com.hk/product/slim-mother-of-pearl-diamond-bangle-in-18k-rose-gold/,,simple,,"Bracelets & Bangles",,,,,"Diamond|Mother of Pearl",0|0|0,,,,,,,Geometric,1|0|0
"Mother of Pearl Diamond Bangle",mother-of-pearl-diamond-bangle,,27193,publish,B27702KP18MW001,,,instock,,https://eji.com.hk/product/mother-of-pearl-diamond-bangle/,,simple,,"Bracelets & Bangles",,,,,"Diamond|Mother of Pearl",0|0|0,"Rose Gold",1|0|0,"18k 750",2|0|0,,,Flower|Heart,3|1|0
Offer,offer,,27581,publish,SKU11,,hidden,instock,,https://eji.com.hk/product/offer/,,simple,exclude-from-catalog|exclude-from-search,Uncategorized,,,,Optional,,,,,,,,,,
Credit,credit,,27582,publish,SKU11,,hidden,instock,,https://eji.com.hk/product/credit/,,simple,exclude-from-catalog|exclude-from-search,Uncategorized,,,,Optional,,,,,,,,,,
"Citrine Diamond Earrings",citrine-diamond-earrings,,27743,publish,E39507GA18CT001,,,instock,,https://eji.com.hk/product/citrine-diamond-earrings/,,simple,,"Earrings > Gemstone Diamond Earrings",,,,,Citrine|Diamond,0|1|0,"White Gold|Yellow Gold",1|1|0,,,,,Geometric,2|1|0
"Blue Topaz Diamond Ring",blue-topaz-diamond-ring,,27967,publish,R39508,,,instock,,https://eji.com.hk/product/blue-topaz-diamond-ring/,,simple,,,,,,,"Blue Topaz|Diamond",0|1|0,"Rose Gold|White Gold|Yellow Gold",1|1|0,"14k 585|18k 750",2|1|0,Round,3|1|0,Geometric,4|1|0
"Swan Blue Topaz Mother of Pearl Diamond Earrings",swan-blue-topaz-mother-of-pearl-diamond-earrings,,28094,publish,E28176GW18V01001,,,instock,,https://eji.com.hk/product/swan-blue-topaz-mother-of-pearl-diamond-earrings/,,simple,,"Earrings > Gemstone Diamond Earrings","Swan Lake",,,,"Blue Topaz|Diamond|Mother of Pearl",0|0|0,"White Gold",1|0|0,"18k 750",2|0|0,,,Animal|Nature|Swan,4|0|0
"Swan Blue Topaz Mother of Pearl Diamond Necklace",swan-blue-topaz-mother-of-pearl-diamond-necklace,,28096,publish,E28176GW18V01001-1,,,instock,,https://eji.com.hk/product/swan-blue-topaz-mother-of-pearl-diamond-necklace/,,simple,,,"Swan Lake",,,,"Blue Topaz|Diamond|Mother of Pearl",0|0|0,"White Gold",1|0|0,"18k 750",2|0|0,,,Animal|Nature|Swan,4|0|0
"Swan Blue Topaz Mother of Pearl Diamond Ring",swan-blue-topaz-mother-of-pearl-diamond-ring,,28098,publish,R28176GW18V01001,,,instock,,https://eji.com.hk/product/swan-blue-topaz-mother-of-pearl-diamond-ring/,,simple,,,"Swan Lake",,,,"Blue Topaz|Diamond|Mother of Pearl",0|0|0,"White Gold",1|0|0,"18k 750",2|0|0,,,Animal|Nature|Swan,4|0|0
"Enamel Dragonfly Green Garnet Yellow Sapphire Diamond Brooch in 18K White Gold",enamel-dragonfly-green-garnet-yellow-sapphire-diamond-brooch-in-18k-white-gold,,28106,publish,P28241GW18V01001,,,instock,,https://eji.com.hk/product/enamel-dragonfly-green-garnet-yellow-sapphire-diamond-brooch-in-18k-white-gold/,,simple,,Brooches,,,,,"Diamond|Enamel|Green garnet|Sapphire",0|0|0,"White Gold",1|0|0,"18k 750",2|0|0,Round,3|0|0,Animal|Dragonfly|Nature,4|0|0
"Enamel Dragonfly Rainbow Sapphire Diamond Brooch in 18k Yellow Gold",enamel-dragonfly-rainbow-sapphire-diamond-brooch-in-18k-yellow-gold,,28110,draft,P28243KY18V01001,,,instock,,https://eji.com.hk/?post_type=product&p=28110,,simple,,Brooches,,,,,Diamond|Enamel|Sapphire,0|0|0,"Yellow Gold",1|0|0,"18k 750",2|0|0,Round,3|0|0,Dragonfly|Nature,4|0|0
"Dragonfly Aquamarine Diamond Brooch in 18K White Gold",dragonfly-aquamarine-diamond-brooch-in-18k-white-gold,,28112,publish,P28244GW18AQ001,,,instock,,https://eji.com.hk/product/dragonfly-aquamarine-diamond-brooch-in-18k-white-gold/,,simple,,Brooches,,,,,Aquamarine|Diamond,0|1|0,"White Gold",1|1|0,"18k 750",2|1|0,Baguettes|Marquise|Pear|Round,3|1|0,Dragonfly|Nature,4|1|0
"Enamel Dragonfly Diamond Brooch in 18K Rose Gold",enamel-dragonfly-diamond-brooch-in-18k-rose-gold,,28114,publish,P28245KP18V01001,,,instock,,https://eji.com.hk/product/enamel-dragonfly-diamond-brooch-in-18k-rose-gold/,,simple,,Brooches,,,,,Diamond|Enamel,0|1|0,"Rose Gold",1|1|0,"18k 750",2|1|0,Round,3|1|0,Animal|Dragonfly|Nature,4|1|0
"Amethyst Ruby Diamond Necklace",amethyst-ruby-diamond-necklace,,28129,publish,P27753KP18V01001,,,instock,,https://eji.com.hk/product/amethyst-ruby-diamond-necklace/,,simple,,,,,,,Amethyst|Diamond|Ruby,0|1|0,"Rose Gold",1|1|0,"18k 750",2|1|0,Round,3|1|0,,
"Enamel Sapphire Dragonfly Diamond Brooch in 18K Rose Gold",enamel-sapphire-dragonfly-diamond-brooch-in-18k-rose-gold,,28148,publish,P28242KP18V01,,,instock,,https://eji.com.hk/product/enamel-sapphire-dragonfly-diamond-brooch-in-18k-rose-gold/,,simple,,Brooches,,,,,Diamond|Enamel|Sapphire,0|1|0,"Rose Gold",1|1|0,"18k 750",2|1|0,Round,3|1|0,Animal|Dragonfly|Nature,4|1|0
"Enamel Diamond Dragonfly Brooch in 18K White Gold",enamel-diamond-dragonfly-brooch-in-18k-white-gold,,28150,publish,P28246KW18V01001,,,instock,,https://eji.com.hk/product/enamel-diamond-dragonfly-brooch-in-18k-white-gold/,,simple,,Brooches,,,,,Diamond|Enamel,0|1|0,"Rose Gold",1|1|0,"18k 750",2|1|0,Round,3|1|0,Animal|Dragonfly|Nature,4|1|0
"Solitaire Diamond Ring in 14K White Gold",solitaire-diamond-ring-in-14k-white-gold-2,,28608,publish,R35514KW14DD001,,,instock,,https://eji.com.hk/product/solitaire-diamond-ring-in-14k-white-gold-2/,,simple,,"Rings > Diamond Rings|Private Collection > Rings",,,,,Diamond,0|1|0,,,,,,,,
"Solitaire Diamond Ring in 14K White Gold",solitaire-diamond-ring-in-14k-white-gold,,28610,publish,R35516KW14DD001,,,instock,,https://eji.com.hk/product/solitaire-diamond-ring-in-14k-white-gold/,,simple,,"Rings > Diamond Rings|Private Collection > Rings",,,,,Diamond,0|1|0,,,,,,,,
"Halo Diamond Ring in 14K White Gold",halo-diamond-ring-in-14k-white-gold-3,,28613,publish,R35519KW14DD001,,,instock,,https://eji.com.hk/product/halo-diamond-ring-in-14k-white-gold-3/,,simple,,"Rings > Diamond Rings|Private Collection > Rings",,,,,Diamond,0|1|0,,,,,,,,
"Cushion Halo Diamond Ring in 14K White Gold",cushion-halo-diamond-ring-in-14k-white-gold,,28614,publish,R35520KW14DD001,,,instock,,https://eji.com.hk/product/cushion-halo-diamond-ring-in-14k-white-gold/,,simple,,"Rings > Diamond Rings|Private Collection > Rings",,,,,Diamond,0|1|0,,,,,,,,
"Halo Diamond Ring in 14K White Gold",halo-diamond-ring-in-14k-white-gold-4,,28616,publish,R35522KW14DD001,,,instock,,https://eji.com.hk/product/halo-diamond-ring-in-14k-white-gold-4/,,simple,,"Rings > Diamond Rings|Private Collection > Rings",,,,,Diamond,0|1|0,,,,,,,,
"Halo Diamond Ring in 14K White Gold",halo-diamond-ring-in-14k-white-gold,,28617,publish,R35523KW14DD001,,,instock,,https://eji.com.hk/product/halo-diamond-ring-in-14k-white-gold/,,simple,,"Rings > Diamond Rings|Private Collection > Rings",,,,,Diamond,0|1|0,,,,,,,,
"Star Halo Diamond Ring in 14K White Gold",star-halo-diamond-ring-in-14k-white-gold,,28618,publish,R35524KW14DD001,,,instock,,https://eji.com.hk/product/star-halo-diamond-ring-in-14k-white-gold/,,simple,,"Rings > Diamond Rings|Private Collection > Rings",,,,,Diamond,0|1|0,,,,,,,,
"Twist Band Halo Diamond Ring in Two-tone 14K Gold",twist-halo-diamond-ring-in-two-tone-14k-gold,,28619,publish,R35526KC14DD001,,,instock,,https://eji.com.hk/product/twist-halo-diamond-ring-in-two-tone-14k-gold/,,simple,,"Rings > Diamond Rings|Private Collection > Rings",,,,,Diamond,0|1|0,,,,,,,,
"Solitaire Diamond Ring in Two-tone 14K Gold",half-eternity-solitaire-diamond-ring-in-two-tone-14k-gold,,28621,publish,R35529KA14DD001,,,instock,,https://eji.com.hk/product/half-eternity-solitaire-diamond-ring-in-two-tone-14k-gold/,,simple,,"Rings > Diamond Rings|Private Collection > Rings",,,,,Diamond,0|1|0,,,,,,,,
"Solitaire Diamond Ring in 18k White Gold",solitaire-diamond-ring-in-18k-white-gold-7,,28628,publish,R35536,,,instock,,https://eji.com.hk/product/solitaire-diamond-ring-in-18k-white-gold-7/,,simple,,"Rings > Diamond Rings|Private Collection > Rings",,,,,CZ,0|1|0,Silver,1|1|0,,2|1|0,,,,
"Solitaire Diamond Ring in 18k White Gold",solitaire-diamond-ring-in-18k-white-gold,,28629,publish,R35537,,,instock,,https://eji.com.hk/product/solitaire-diamond-ring-in-18k-white-gold/,,simple,,"Rings > Diamond Rings|Private Collection > Rings",,,,,CZ,0|1|0,Silver,1|1|0,,2|1|0,,,,
"Diamond Ring Band in 14k White Gold",diamond-ring-band-in-14k-white-gold-2,,28632,publish,Z35514KW14DD001,,,instock,,https://eji.com.hk/product/diamond-ring-band-in-14k-white-gold-2/,,simple,,"Rings > Diamond Rings|Private Collection > Rings",,,,,Diamond,0|1|0,,,,,,,,
"Diamond Ring Band in 14k White Gold",diamond-ring-in-14k-white-gold,,28633,publish,Z35515KW14DD001,,,instock,,https://eji.com.hk/product/diamond-ring-in-14k-white-gold/,,simple,,"Rings > Diamond Rings|Private Collection > Rings",,,,,Diamond,0|1|0,,,,,,,,
"Diamond Ring Band in 14k White Gold",diamond-ring-band-in-14k-white-gold,,28634,publish,Z35516KW14DD001,,,instock,,https://eji.com.hk/product/diamond-ring-band-in-14k-white-gold/,,simple,,"Rings > Diamond Rings|Private Collection > Rings",,,,,Diamond,0|1|0,,,,,,,,
"Diamond Ring Band in 14k White Gold",diamond-ring-band-in-14k-white-gold-3,,28635,publish,Z35517KW14DD001,,,instock,,https://eji.com.hk/product/diamond-ring-band-in-14k-white-gold-3/,,simple,,"Rings > Diamond Rings|Private Collection > Rings",,,,,Diamond,0|1|0,,,,,,,,
"Twist Band Diamond Ring in 18k White Gold",twist-band-diamond-ring-in-18k-white-gold,,28636,publish,Z35534,,,instock,,https://eji.com.hk/product/twist-band-diamond-ring-in-18k-white-gold/,,simple,,"Rings > Diamond Rings|Private Collection > Rings",,,,,CZ,0|1|0,Silver,1|1|0,,2|1|0,Round,3|1|0,,
"Diamond Band Ring in 18k White Gold",diamond-band-ring-in-18k-white-gold-2,,28637,publish,Z35535,,,instock,,https://eji.com.hk/product/diamond-band-ring-in-18k-white-gold-2/,,simple,,"Rings > Diamond Rings|Private Collection > Rings",,,,,,,,,,,,,,
"Diamond Band Ring in 18k White Gold",diamond-band-ring-in-18k-white-gold,,28638,publish,Z35537,,,instock,,https://eji.com.hk/product/diamond-band-ring-in-18k-white-gold/,,simple,,"Rings > Diamond Rings|Private Collection > Rings",,,,,,,,,,,,,,
"Diamond Ring Band in Two-tone 14K Gold",eternity-stud-diamond-ring-in-two-tone18k-gold,,28732,publish,Z35529KA14DD001,,,instock,,https://eji.com.hk/product/eternity-stud-diamond-ring-in-two-tone18k-gold/,,simple,,"Rings > Diamond Rings|Private Collection > Rings",,,,,Diamond,0|1|0,,,,,,,,
"Enamel diamond earrings in 14k rose gold",,,28748,draft,E35543KP14V01001,,,instock,,https://eji.com.hk/?post_type=product&p=28748,,simple,,"Private Collection > Earrings",,,,,Diamond,0|1|0,,,,,,,,
"Diamond Tennis Bracelet in 14k White Gold",diamond-tennis-bracelet-in-14k-white-gold,,28773,publish,B25938KW14DD044,,,instock,,https://eji.com.hk/product/diamond-tennis-bracelet-in-14k-white-gold/,,simple,,"Private Collection > Bracelets & Bangles|Bracelets & Bangles > Tennis Bracelets",,,,,Diamond,0|1|0,,,,,,,,
"Diamond Tennis Bracelet in 14k White Gold",diamond-tennis-bracelet-in-14k-white-gold-2,,28774,draft,B25939KW14DD053,,,instock,,https://eji.com.hk/?post_type=product&p=28774,,simple,,"Bracelets & Bangles",,,,,Diamond,0|1|0,,,,,,,,
"Curb Chain Diamond Bracelet in 18k rose gold",curb-chain-diamond-bracelet-in-18k-rose-gold,,28775,publish,B28311KP18DD001,,,instock,,https://eji.com.hk/product/curb-chain-diamond-bracelet-in-18k-rose-gold/,,simple,,"Private Collection > Bracelets & Bangles|Private Collection > Links|Private Collection",,,,Optional,Diamond,0|1|0,,,,,,,,
"Diamond Bracelet in 18k Yellow Gold",diamond-bracelet-in-18k-yellow-gold,,28776,publish,B34694KY18DD001,,,instock,,https://eji.com.hk/product/diamond-bracelet-in-18k-yellow-gold/,,simple,,"Private Collection > Links|Private Collection|Bracelets & Bangles",,,,Optional,Diamond,0|1|0,,,,,,,,
"Curb Chain diamond earrings in 18k yellow gold",curb-chain-diamond-earrings-in-18k-yellow-gold,,28778,publish,E28309KY18DD001,,,instock,,https://eji.com.hk/product/curb-chain-diamond-earrings-in-18k-yellow-gold/,,simple,,"Private Collection > Earrings|Private Collection > Links|Private Collection",,,,Optional,Diamond,0|1|0,,,,,,,,
"Hoop Huggie Earrings in 18k white gold",eternity-cz-huggie-earrings-in-silver,,28780,publish,E34283,,,instock,,https://eji.com.hk/product/eternity-cz-huggie-earrings-in-silver/,,simple,,"Private Collection > Earrings|Earrings > Hoop Earrings",,,,,Diamond,0|1|0,,,,,,,,
"Diamond Huggie Earrings in 18k White Gold",diamond-huggie-earrings-in-18k-white-gold-2,,28781,publish,E34714,,,instock,,https://eji.com.hk/product/diamond-huggie-earrings-in-18k-white-gold-2/,,simple,,"Private Collection > Earrings|Earrings > Hoop Earrings|Private Collection|Earrings",,,,,Diamond,0|1|0,,,,,,,,
"Diamond Huggie Earrings in 18k White Gold",diamond-huggie-earrings-in-18k-white-gold,,28782,publish,E34715,,,instock,,https://eji.com.hk/product/diamond-huggie-earrings-in-18k-white-gold/,,simple,,"Earrings > Diamond Earrings|Private Collection > Earrings|Earrings > Hoop Earrings",,,,,Diamond,0|1|0,,,,,,,,
"Diamond Stud Earrings in 18k White Gold",diamond-stud-earrings-in-18k-white-gold-2,,28783,publish,E34949,,,instock,,https://eji.com.hk/product/diamond-stud-earrings-in-18k-white-gold-2/,,simple,,"Private Collection > Classic|Private Collection > Earrings|Private Collection",,,,Optional,Diamond,0|1|0,,,,,,,,
"large shadow necklace",,,28785,draft,N28137GW18AB001,,,instock,,https://eji.com.hk/?post_type=product&p=28785,,simple,,"Private Collection > Necklaces & Pendants|Necklaces & Pendants",,,,,Diamond,0|1|0,,,,,,,,
"large swan necklace",,,28786,draft,N28175GW18PA001,,,instock,,https://eji.com.hk/?post_type=product&p=28786,,simple,,"Private Collection > Necklaces & Pendants|Necklaces & Pendants",,,,,Diamond,0|1|0,,,,,,,,
"Curb Chain Diamond necklace in 18k yellow gold",curb-chain-diamond-necklace-in-18k-yellow-gold,,28787,publish,N28309KY18DD001,,,instock,,https://eji.com.hk/product/curb-chain-diamond-necklace-in-18k-yellow-gold/,,simple,,"Private Collection > Links|Private Collection > Necklaces & Pendants|Private Collection",,,,Optional,Diamond,0|1|0,,,,,,,,
"Diamond Bar Necklace in 18k White Gold",diamond-bar-necklace-in-18k-white-gold,,28788,publish,N34689GW18DD001,,,instock,,https://eji.com.hk/product/diamond-bar-necklace-in-18k-white-gold/,,simple,,"Private Collection > Links|Private Collection > Necklaces & Pendants|Private Collection",,,,Optional,Diamond,0|1|0,,,,,,,,
"Diamond Bar Necklace in 18k Rose Gold",diamond-bar-necklace-in-18k-rose-gold,,28789,publish,N34690KP18DD001,,,instock,,https://eji.com.hk/product/diamond-bar-necklace-in-18k-rose-gold/,,simple,,"Private Collection > Links|Private Collection > Necklaces & Pendants|Private Collection",,,,Optional,Diamond,0|1|0,,,,,,,,
"Diamond Bar Necklace in 18k Yellow Gold",diamond-bar-necklace-in-18k-yellow-gold,,28790,publish,N34691KY18DD001,,,instock,,https://eji.com.hk/product/diamond-bar-necklace-in-18k-yellow-gold/,,simple,,"Private Collection > Links|Private Collection > Necklaces & Pendants|Private Collection",,,,Optional,Diamond,0|1|0,,,,,,,,
"Princess Cut Diamond necklace in 18k white gold",princess-cut-diamond-necklace-in-18k-white-gold,,28795,publish,P34948GW18DD001,,,instock,,https://eji.com.hk/product/princess-cut-diamond-necklace-in-18k-white-gold/,,simple,,"Private Collection > Classic|Private Collection > Necklaces & Pendants|Private Collection",,,,Optional,Diamond,0|1|0,,,,,,,,
"Diamond Necklace in 18k White Gold",diamond-necklace-in-18k-white-gold-7,,28796,publish,P34950,,,instock,,https://eji.com.hk/product/diamond-necklace-in-18k-white-gold-7/,,simple,,"Private Collection > Classic|Private Collection > Necklaces & Pendants|Private Collection",,,,Optional,Diamond,0|1|0,,,,,,,,
"Diamond Bar Necklace in 18k White Gold",diamond-bar-necklace-in-18k-white-gold-2,,28797,publish,P34953,,,instock,,https://eji.com.hk/product/diamond-bar-necklace-in-18k-white-gold-2/,,simple,,"Private Collection > Classic|Private Collection > Necklaces & Pendants|Private Collection",,,,Optional,CZ,0|1|0,,,,,,,,
"Diamond Necklace in 18k White Gold",diamond-necklace-in-18k-white-gold-6,,28798,publish,P34955,,,instock,,https://eji.com.hk/product/diamond-necklace-in-18k-white-gold-6/,,simple,,"Private Collection > Classic|Private Collection > Necklaces & Pendants|Private Collection",,,,Optional,Diamond,0|1|0,,,,,,,,
"Half Eternity Princess Cut Diamond ring in 18k white gold",half-eternity-princess-cut-diamond-ring-in-18k-white-gold,,28803,publish,R34947GW18DD001,,,instock,,https://eji.com.hk/product/half-eternity-princess-cut-diamond-ring-in-18k-white-gold/,,simple,,"Rings > Diamond Rings|Private Collection|Private Collection > Rings",,,,,Diamond,0|1|0,,,,,,,,
"Diamond Ring in 18k White Gold",diamond-ring-in-18k-white-gold-6,,28805,publish,R34952,,,instock,,https://eji.com.hk/product/diamond-ring-in-18k-white-gold-6/,,simple,,"Rings > Diamond Rings|Private Collection|Private Collection > Rings",,,,,Diamond,0|1|0,,,,,,,,
"Half Eternity Emerald Cut Diamond Ring in 18k White Gold",half-eternity-emerald-cut-diamond-ring-in-18k-white-gold,,28809,publish,R35003,,,instock,,https://eji.com.hk/product/half-eternity-emerald-cut-diamond-ring-in-18k-white-gold/,,simple,,"Rings > Diamond Rings|Private Collection|Private Collection > Rings",,,,,Diamond,0|1|0,,,,,,,,
"Half Eternity Solitaire Pear Diamond Ring in 18k White Gold",half-eternity-solitaire-pear-diamond-ring-in-18k-white-gold,,28812,publish,RA35001,,,instock,,https://eji.com.hk/product/half-eternity-solitaire-pear-diamond-ring-in-18k-white-gold/,,simple,,"Rings > Diamond Rings|Private Collection|Private Collection > Rings",,,,,CZ,0|1|0,,,,,Pear,1|1|0,,
"Half Eternity Solitaire Round Diamond Ring in Silver",half-eternity-solitaire-round-diamond-ring-in-silver,,28813,publish,RA35002,,,instock,,https://eji.com.hk/product/half-eternity-solitaire-round-diamond-ring-in-silver/,,simple,,"Rings > Diamond Rings|Private Collection|Private Collection > Rings",,,,,CZ,0|1|0,,,,,,,,
"RA_Half Eternity Solitaire Emerald CZ ring in silver",half-eternity-solitaire-emerald-cz-ring-in-silver,,28814,draft,RA35003SVRCZ001,,,instock,,https://eji.com.hk/?post_type=product&p=28814,,simple,,"Rings > Diamond Rings|Private Collection|Private Collection > Rings",,,,,Diamond,0|1|0,,,,,,,,
"Half Eternity Solitaire Oval Diamond Ring in 18k White Gold",half-eternity-solitaire-oval-cz-ring-in-silver,,28815,publish,RA35004,,,instock,,https://eji.com.hk/product/half-eternity-solitaire-oval-cz-ring-in-silver/,,simple,,"Rings > Diamond Rings|Private Collection|Private Collection > Rings",,,,,CZ,0|1|0,,,,,,,,
"Half Eternity Heart Diamond Ring in 18k White Gold",half-eternity-heart-diamond-ring-in-18k-white-gold,,28816,publish,RA35005,,,instock,,https://eji.com.hk/product/half-eternity-heart-diamond-ring-in-18k-white-gold/,,simple,,"Rings > Diamond Rings|Private Collection > Rings",,,,,CZ,0|1|0,,,,,Heart,1|1|0,,
"Stud Diamond ring in 18k white gold",stud-diamond-ring-in-18k-white-gold-2,,28817,publish,Z33173KW18DD001,,,instock,,https://eji.com.hk/product/stud-diamond-ring-in-18k-white-gold-2/,,simple,,"Rings > Diamond Rings|Private Collection|Private Collection > Rings",,,,,Diamond,0|1|0,,,,,Round,3|1|0,,
"Stud Diamond ring in 18k white gold",stud-diamond-ring-in-18k-white-gold,,28818,publish,Z33188KW18DD001,,,instock,,https://eji.com.hk/product/stud-diamond-ring-in-18k-white-gold/,,simple,,"Rings > Diamond Rings|Private Collection|Private Collection > Rings",,,,,Diamond,0|1|0,,,,,Round,1|1|0,,
