post_title,post_name,post_parent,ID,post_content,post_excerpt,post_status,post_password,menu_order,post_date,post_author,comment_status,sku,parent_sku,children,downloadable,virtual,stock,regular_price,sale_price,weight,length,width,height,tax_class,visibility,stock_status,backorders,sold_individually,low_stock_amount,manage_stock,tax_status,upsell_ids,crosssell_ids,purchase_note,sale_price_dates_from,sale_price_dates_to,download_limit,download_expiry,product_url,button_text,images,downloadable_files,product_page_url,tax:product_type,tax:product_visibility,tax:product_cat,tax:product_tag,tax:product_shipping_class,attribute:pa_material,attribute_data:pa_material,attribute_default:pa_material,attribute:pa_metal,attribute_data:pa_metal,attribute_default:pa_metal,attribute:pa_metal-purity,attribute_data:pa_metal-purity,attribute_default:pa_metal-purity,attribute:pa_shape,attribute_data:pa_shape,attribute_default:pa_shape,attribute:pa_style,attribute_data:pa_style,attribute_default:pa_style
"Cancer Necklace in 18K Rose Gold with Diamond and Sapphire",cancer-necklace-in-18k-rose-gold-with-diamond-and-sapphire,,26786,"Cancer Necklace from the Zodiac Collection
<ul>
 	<li>750 gold</li>
 	<li>Diamond</li>
 	<li>Sapphire</li>
 	<li>Customisable</li>
</ul>
Style: P31905KP18SA",,publish,,0,"2022-01-21 14:33:12",2,closed,P31905KP18SA,,,no,no,,500,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"https://eji.com.hk/wp-content/uploads/2022/01/P31905KP18SA-巨蟹座.jpg ! alt : cancer zodiac necklace in 18k rose gold diamond sapphire ! title : P31905KP18SA cancer zodiac necklace in 18k rose gold diamond sapphire ! desc :  ! caption :  | https://eji.com.hk/wp-content/uploads/2022/01/P31905KP18SA-巨蟹座-scale.jpg ! alt : cancer necklace in 18k rose gold diamond sapphire ! title : P31905KP18SA cancer necklace in 18k rose gold diamond sapphire-scale ! desc :  ! caption : ",,https://eji.com.hk/product/cancer-necklace-in-18k-rose-gold-with-diamond-and-sapphire/,simple,,"Necklaces & Pendants > Diamond Necklaces|Necklaces & Pendants > Gemstone Necklaces|Necklaces & Pendants",zodiac,,Diamond|Sapphire,0|1|0,,"Rose Gold",2|1|0,,"14k 583|18k 750",1|1|0,,,,,,,
"Gemini Necklace in 18K Rose Gold with Diamond and Fancy Sapphire",gemini-necklace-in-18k-rose-gold-with-diamond-and-fancy-sapphire,,26788,"Gemini Necklace from the Zodiac Collection
<ul>
 	<li>750 gold</li>
 	<li>Diamond</li>
 	<li>Fancy sapphire</li>
 	<li>Customisable</li>
</ul>
Style: P31904KP18SP",,publish,,0,"2022-01-21 14:39:24",2,closed,P31904KP18SP,,,no,no,,500,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"https://eji.com.hk/wp-content/uploads/2022/01/P31904KP18SP-双子座.jpg ! alt : Gemini 18k rose gold diamond fancy sapphire ! title : P31904KP18SP gemini 18k rose gold diamond fancy sapphire ! desc :  ! caption :  | https://eji.com.hk/wp-content/uploads/2022/01/P31904KP18SP-双子座-scale.jpg ! alt :  ! title : P31904KP18SP 双子座-scale ! desc :  ! caption : ",,https://eji.com.hk/product/gemini-necklace-in-18k-rose-gold-with-diamond-and-fancy-sapphire/,simple,,"Necklaces & Pendants > Diamond Necklaces|Necklaces & Pendants > Gemstone Necklaces|Necklaces & Pendants",zodiac,,Diamond|Sapphire,0|1|0,,"Rose Gold",2|1|0,,"14k 583|18k 750",1|1|0,,,,,,,
"Taurus Necklace in 18K Rose Gold with Diamond and Green Garnet",taurus-necklace-in-18k-rose-gold-with-diamond-and-green-garnet,,26790,"Gemini Necklace from the Zodiac Collection
<ul>
 	<li>750 gold</li>
 	<li>Diamond</li>
 	<li>Green garnet</li>
 	<li>Customisable</li>
</ul>
Style: P31903KP18GG",,publish,,0,"2022-01-21 14:42:46",2,closed,P31903KP18GG,,,no,no,,500,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"https://eji.com.hk/wp-content/uploads/2022/01/P31903KP18GG-金牛座.jpg ! alt : Taurus necklace in 18k rose gold diamond green garnet ! title : P31903KP18GG Taurus necklace in 18k rose gold diamond green garnet ! desc :  ! caption :  | https://eji.com.hk/wp-content/uploads/2022/01/P31903KP18GG-金牛座-scale.jpg ! alt : Taurus necklace in 18k rose gold diamond green garnet scale ! title : P31903KP18GG Taurus necklace in 18k rose gold diamond green garnet-scale ! desc :  ! caption : ",,https://eji.com.hk/product/taurus-necklace-in-18k-rose-gold-with-diamond-and-green-garnet/,simple,,"Necklaces & Pendants > Diamond Necklaces|Necklaces & Pendants > Gemstone Necklaces|Necklaces & Pendants",zodiac,,"Diamond|Green garnet",0|1|0,,"Rose Gold",2|1|0,,"14k 583|18k 750",1|1|0,,,,,,,
"Aries Necklace in 18K Rose Gold with Diamond and Ruby",aries-necklace-in-18k-rose-gold-with-diamond-and-ruby,,26792,"Aries Necklace from the Zodiac Collection
<ul>
 	<li>750 gold</li>
 	<li>Diamond</li>
 	<li>Ruby</li>
 	<li>Customisable</li>
</ul>
Style: P31902KP18RB",,publish,,0,"2022-01-21 14:45:16",2,closed,P31902KP18RB,,,no,no,,500,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"https://eji.com.hk/wp-content/uploads/2022/01/P31902KP18RB-白羊座.jpg ! alt : Aries Necklace in 18K Rose Gold with Diamond and Ruby ! title : P31902KP18RB Aries Necklace in 18K Rose Gold with Diamond and Ruby ! desc :  ! caption :  | https://eji.com.hk/wp-content/uploads/2022/01/P31902KP18RB-白羊座-scale.jpg ! alt : Aries Necklace in 18K Rose Gold with Diamond and Ruby scale ! title : P31902KP18RB Aries Necklace in 18K Rose Gold with Diamond and Ruby-scale ! desc :  ! caption : ",,https://eji.com.hk/product/aries-necklace-in-18k-rose-gold-with-diamond-and-ruby/,simple,,"Necklaces & Pendants > Diamond Necklaces|Necklaces & Pendants > Gemstone Necklaces|Necklaces & Pendants",zodiac,,Diamond|Ruby,0|1|0,,"Rose Gold",2|1|0,,"14k 583|18k 750",1|1|0,,,,,,,
"Pink Sapphire Diamond Pendant with Belcher Chain",,,27157,"Mirco-Pave, 1 Round Pink Sapphire 0.19 CT ",,draft,,0,"2022-03-16 10:40:46",2,open,P28041KP18SP001,,,no,no,,470,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,,,https://eji.com.hk/?post_type=product&p=27157,simple,,,,,,,,,,,,,,,,,,,
"Diamond Pendant",,,27169,"Claw/ Prong",,draft,,0,"2022-03-16 10:40:47",2,open,P32535GW18DD001,,,no,no,,795,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,,,https://eji.com.hk/?post_type=product&p=27169,simple,,,,,,,,,,,,,,,,,,,
"Diamond Pendant with Rolo Chain",,,27170,"Claw/ Prong",,draft,,0,"2022-03-16 10:40:47",2,open,P24087GW18DD001,,,no,no,,775,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,,,https://eji.com.hk/?post_type=product&p=27170,simple,,,,,,,,,,,,,,,,,,,
"Diamond Pendant with Rolo Chain",,,27171,"Claw/ Prong",,draft,,0,"2022-03-16 10:40:47",2,open,PA24075GW18DD001,,,no,no,,1230,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,,,https://eji.com.hk/?post_type=product&p=27171,simple,,,,,,,,,,,,,,,,,,,
"Diamond Pendant with Shinny Cut Chain",,,27172,Mirco-Pave,,draft,,0,"2022-03-16 10:40:47",2,open,P39310KP18DD000,,,no,no,,360,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,,,https://eji.com.hk/?post_type=product&p=27172,simple,,,,,,,,,,,,,,,,,,,
"Diamond Pendant with Rolo Chain",,,27173,Mirco-Pave,,draft,,0,"2022-03-16 10:40:47",2,open,P24814GW18DD001,,,no,no,,1030,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,,,https://eji.com.hk/?post_type=product&p=27173,simple,,,,,,,,,,,,,,,,,,,
"Diamond Pendant with Rolo Chain",,,27174,Mirco-Pave,,draft,,0,"2022-03-16 10:40:47",2,open,P25086GW18DD002,,,no,no,,990,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,,,https://eji.com.hk/?post_type=product&p=27174,simple,,,,,,,,,,,,,,,,,,,
"Sapphire Diamond Pendant",,,27180,"Claw/ Prong, 1 Oval Sapphire 0.50 ct",,draft,,0,"2022-03-16 10:40:48",2,open,PA05201GW18SA002,,,no,no,,695,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,,,https://eji.com.hk/?post_type=product&p=27180,simple,,,,,,,,,,,,,,,,,,,
"Amethyst Akoya Pearl Tourmaline Diamond Necklace",,,27182,"Claw/ Prong, 1 Amethyst 0.45 CT 
 4 Akoya Pearl  3.54 CT
2 Tourmaline 0.71 CT ",,draft,,0,"2022-03-16 10:40:48",2,open,N39338KP18V01001,,,no,no,,585,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,,,https://eji.com.hk/?post_type=product&p=27182,simple,,,,,,,,,,,,,,,,,,,
"Emerald Diamond Bracelet",,,27185,"162 Round Diamond 1.53 ct, 84 Square Emerald 4.61 ct, 7inch",,draft,,0,"2022-03-16 10:40:48",2,open,B25299GW18EM001,,,no,no,,5275,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,,,https://eji.com.hk/?post_type=product&p=27185,simple,,"Bracelets & Bangles",,,,,,,,,,,,,,,,,
"Diamond Bracelet",,,27186,"28 Round Diamond 0.98 ct, 7inch",,draft,,0,"2022-03-16 10:40:49",2,open,B25978KW14DD004,,,no,no,,920,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,,,https://eji.com.hk/?post_type=product&p=27186,simple,,"Bracelets & Bangles",,,,,,,,,,,,,,,,,
"Diamond Bracelet",,,27187,"54 Round Diamond 0.19 ct ",,draft,,0,"2022-03-16 10:40:49",2,open,B39247GW18DD001,,,no,no,,2735,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,,,https://eji.com.hk/?post_type=product&p=27187,simple,,"Bracelets & Bangles",,,,,,,,,,,,,,,,,
"Mother of Pearl Diamond Bangle in 18K Rose Gold",slim-mother-of-pearl-diamond-bangle-in-18k-rose-gold,,27192,"Mother of Pearl Diamond Bangle
<ul>
 	<li>Stackable bangle</li>
 	<li>Solid gold</li>
 	<li>24 round diamonds 0.13 ct. tw.</li>
 	<li>1 mother of pearl 0.66 ct. tw.</li>
 	<li>Customisable</li>
</ul>",,publish,,0,"2022-03-16 10:40:49",2,closed,B27706KP18MW001,,,no,no,,530,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"https://eji.com.hk/wp-content/uploads/2022/03/B27706KP18MW001.jpg ! alt : Mother of Pearl Diamond Bangle ! title : B27706KP18MW001 ! desc :  ! caption : ",,https://eji.com.hk/product/slim-mother-of-pearl-diamond-bangle-in-18k-rose-gold/,simple,,"Bracelets & Bangles",,,"Diamond|Mother of Pearl",0|0|0,,,,,,,,,,,Geometric,1|0|0,
"Mother of Pearl Diamond Bangle",mother-of-pearl-diamond-bangle,,27193,"Mother of Pearl Diamond Bangle
<ul>
 	<li>Solid gold</li>
 	<li>Mother of pearl heart 0.2 ct.</li>
 	<li><span style=""letter-spacing: 0px;"">29 Round Diamond 0.14 ct.</span></li>
 	<li>Customisable</li>
</ul>",,publish,,0,"2022-03-16 10:40:49",2,closed,B27702KP18MW001,,,no,no,,495,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"https://eji.com.hk/wp-content/uploads/2022/03/B27702KP18MW001.jpg ! alt : White Mother of Pearl Diamond Bangle ! title : B27702KP18MW001 ! desc :  ! caption : ",,https://eji.com.hk/product/mother-of-pearl-diamond-bangle/,simple,,"Bracelets & Bangles",,,"Diamond|Mother of Pearl",0|0|0,,"Rose Gold",1|0|0,,"18k 750",2|0|0,,,,,Flower|Heart,3|1|0,
"Citrine Diamond Earrings",citrine-diamond-earrings,,27743,"Citrine Diamond Earrings
<ul>
 	<li>From the Jolly collection</li>
 	<li>Solid gold</li>
 	<li>54 round diamond 0.32 ct. tw.</li>
 	<li>2 Citrine 11.62 ct. tw.</li>
 	<li>Prong/claw setting</li>
 	<li>Customisable</li>
</ul>
&nbsp;",,publish,,0,"2022-04-12 15:06:22",2,closed,E39507GA18CT001,,,no,no,,830,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"https://eji.com.hk/wp-content/uploads/2022/04/E39507GA18CT001_white-and-yellow.jpg ! alt : citrine diamond ring ! title : E39507GA18CT001 ! desc :  ! caption : ",,https://eji.com.hk/product/citrine-diamond-earrings/,simple,,"Earrings > Diamond Earrings|Earrings > Gemstone Earrings|Earrings",jolly,,Citrine|Diamond,0|1|0,,"White Gold|Yellow Gold",1|1|0,,,,,,,,Geometric,2|1|0,
