post_title,post_name,post_parent,ID,post_content,post_excerpt,post_status,post_password,menu_order,post_date,post_author,comment_status,sku,parent_sku,children,downloadable,virtual,stock,regular_price,sale_price,weight,length,width,height,tax_class,visibility,stock_status,backorders,sold_individually,low_stock_amount,manage_stock,tax_status,upsell_ids,crosssell_ids,purchase_note,sale_price_dates_from,sale_price_dates_to,download_limit,download_expiry,product_url,button_text,images,downloadable_files,product_page_url,meta:total_sales,meta:_global_unique_id,wpml:language_code,wpml:original_product_id,wpml:original_product_sku,tax:product_brand,tax:product_type,tax:product_visibility,tax:product_cat,tax:product_tag,tax:product_shipping_class,tax:giftcard-category,tax:translation_priority,attribute:pa_material,attribute_data:pa_material,attribute:pa_metal,attribute_data:pa_metal,attribute:pa_metal-purity,attribute_data:pa_metal-purity,attribute:pa_shape,attribute_data:pa_shape,attribute:pa_style,attribute_data:pa_style
"Cancer Necklace in 18K Rose Gold with Diamond and Sapphire",cancer-necklace-in-18k-rose-gold-with-diamond-and-sapphire,,26786,,,publish,,435,"2022-01-21 14:33:12",1,closed,P31905KP18SA,,,no,no,,500,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"https://eji.com.hk/wp-content/uploads/2022/01/P31905KP18SA-巨蟹座.jpg ! alt : cancer zodiac necklace in 18k rose gold diamond sapphire ! title : P31905KP18SA cancer zodiac necklace in 18k rose gold diamond sapphire ! desc :  ! caption :  | https://eji.com.hk/wp-content/uploads/2022/01/P31905KP18SA-巨蟹座-scale.jpg ! alt : cancer necklace in 18k rose gold diamond sapphire ! title : P31905KP18SA cancer necklace in 18k rose gold diamond sapphire-scale ! desc :  ! caption : ",,https://eji.com.hk/product/cancer-necklace-in-18k-rose-gold-with-diamond-and-sapphire/,0,,en,26786,P31905KP18SA,,simple,,,zodiac,,,,Diamond|Sapphire,0|1|0,"Rose Gold",2|1|0,"14k 585|18k 750",1|1|0,,,,
"Gemini Necklace in 18K Rose Gold with Diamond and Fancy Sapphire",gemini-necklace-in-18k-rose-gold-with-diamond-and-fancy-sapphire,,26788,,,publish,,577,"2022-01-21 14:39:24",1,closed,P31904KP18SP,,,no,no,,500,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"https://eji.com.hk/wp-content/uploads/2022/01/P31904KP18SP-双子座.jpg ! alt : Gemini 18k rose gold diamond fancy sapphire ! title : P31904KP18SP gemini 18k rose gold diamond fancy sapphire ! desc :  ! caption :  | https://eji.com.hk/wp-content/uploads/2022/01/P31904KP18SP-双子座-scale.jpg ! alt :  ! title : P31904KP18SP 双子座-scale ! desc :  ! caption : ",,https://eji.com.hk/product/gemini-necklace-in-18k-rose-gold-with-diamond-and-fancy-sapphire/,0,,en,26788,P31904KP18SP,,simple,,,zodiac,,,,Diamond|Sapphire,0|1|0,"Rose Gold",2|1|0,"14k 585|18k 750",1|1|0,,,,
"Taurus Necklace in 18K Rose Gold with Diamond and Green Garnet",taurus-necklace-in-18k-rose-gold-with-diamond-and-green-garnet,,26790,,,publish,,785,"2022-01-21 14:42:46",1,closed,P31903KP18GG,,,no,no,,500,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"https://eji.com.hk/wp-content/uploads/2022/01/P31903KP18GG-金牛座.jpg ! alt : Taurus necklace in 18k rose gold diamond green garnet ! title : P31903KP18GG Taurus necklace in 18k rose gold diamond green garnet ! desc :  ! caption :  | https://eji.com.hk/wp-content/uploads/2022/01/P31903KP18GG-金牛座-scale.jpg ! alt : Taurus necklace in 18k rose gold diamond green garnet scale ! title : P31903KP18GG Taurus necklace in 18k rose gold diamond green garnet-scale ! desc :  ! caption : ",,https://eji.com.hk/product/taurus-necklace-in-18k-rose-gold-with-diamond-and-green-garnet/,0,,en,26790,P31903KP18GG,,simple,,,zodiac,,,,"Diamond|Green garnet",0|1|0,"Rose Gold",2|1|0,"14k 585|18k 750",1|1|0,,,,
"Aries Necklace in 18K Rose Gold with Diamond and Ruby",aries-necklace-in-18k-rose-gold-with-diamond-and-ruby,,26792,,,publish,,411,"2022-01-21 14:45:16",1,closed,P31902KP18RB,,,no,no,,500,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"https://eji.com.hk/wp-content/uploads/2022/01/P31902KP18RB-白羊座.jpg ! alt : Aries Necklace in 18K Rose Gold with Diamond and Ruby ! title : P31902KP18RB Aries Necklace in 18K Rose Gold with Diamond and Ruby ! desc :  ! caption :  | https://eji.com.hk/wp-content/uploads/2022/01/P31902KP18RB-白羊座-scale.jpg ! alt : Aries Necklace in 18K Rose Gold with Diamond and Ruby scale ! title : P31902KP18RB Aries Necklace in 18K Rose Gold with Diamond and Ruby-scale ! desc :  ! caption : ",,https://eji.com.hk/product/aries-necklace-in-18k-rose-gold-with-diamond-and-ruby/,0,,en,26792,P31902KP18RB,,simple,,,zodiac,,,,Diamond|Ruby,0|1|0,"Rose Gold",2|1|0,"14k 585|18k 750",1|1|0,,,,
"Mother of Pearl Diamond Bangle in 18K Rose Gold",slim-mother-of-pearl-diamond-bangle-in-18k-rose-gold,,27192,,,publish,,663,"2022-03-16 10:40:49",1,closed,B27706KP18MW001,,,no,no,,530,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"https://eji.com.hk/wp-content/uploads/2022/03/B27706KP18MW001.jpg ! alt : Mother of Pearl Diamond Bangle ! title : B27706KP18MW001 ! desc :  ! caption : ",,https://eji.com.hk/product/slim-mother-of-pearl-diamond-bangle-in-18k-rose-gold/,0,,en,27192,B27706KP18MW001,,simple,,"Bracelets & Bangles",,,,,"Diamond|Mother of Pearl",0|0|0,,,,,,,Geometric,1|0|0
"Mother of Pearl Diamond Bangle",mother-of-pearl-diamond-bangle,,27193,,,publish,,662,"2022-03-16 10:40:49",1,closed,B27702KP18MW001,,,no,no,,495,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"https://eji.com.hk/wp-content/uploads/2022/03/B27702KP18MW001.jpg ! alt : White Mother of Pearl Diamond Bangle ! title : B27702KP18MW001 ! desc :  ! caption : ",,https://eji.com.hk/product/mother-of-pearl-diamond-bangle/,0,,en,27193,B27702KP18MW001,,simple,,"Bracelets & Bangles",,,,,"Diamond|Mother of Pearl",0|0|0,"Rose Gold",1|0|0,"18k 750",2|0|0,,,Flower|Heart,3|1|0
Offer,offer,,27581,,,publish,,673,"2022-03-30 16:39:17",1,closed,SKU11,,,no,no,,,,,,,,,hidden,instock,no,,,no,taxable,,,,,,'-1,'-1,,,,,https://eji.com.hk/product/offer/,0,,en,27581,SKU11,,simple,exclude-from-catalog|exclude-from-search,Uncategorized,,,,Optional,,,,,,,,,,
Credit,credit,,27582,,,publish,,457,"2022-03-30 16:39:21",1,closed,SKU11,,,no,no,,,,,,,,zero-rate,hidden,instock,no,,,no,none,,,,,,'-1,'-1,,,,,https://eji.com.hk/product/credit/,0,,en,27582,SKU11,,simple,exclude-from-catalog|exclude-from-search,Uncategorized,,,,Optional,,,,,,,,,,
"Citrine Diamond Earrings",citrine-diamond-earrings,,27743,,,publish,,454,"2022-04-12 15:06:22",1,closed,E39507GA18CT001,,,no,no,,830,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"https://eji.com.hk/wp-content/uploads/2022/04/E39507GA18CT001_white-and-yellow.jpg ! alt : citrine diamond ring ! title : E39507GA18CT001 ! desc :  ! caption : ",,https://eji.com.hk/product/citrine-diamond-earrings/,0,,en,27743,E39507GA18CT001,,simple,,"Earrings > Gemstone Diamond Earrings",,,,,Citrine|Diamond,0|1|0,"White Gold|Yellow Gold",1|1|0,,,,,Geometric,2|1|0
"Blue Topaz Diamond Ring",blue-topaz-diamond-ring,,27967,,,publish,,433,"2022-04-20 15:52:14",1,closed,R39508,,,no,no,,500,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"https://eji.com.hk/wp-content/uploads/2022/04/R39508KW18TB001-1.jpg ! alt :  ! title : R39508KW18TB001 (1) ! desc :  ! caption : ",,https://eji.com.hk/product/blue-topaz-diamond-ring/,0,,en,27967,R39508,,simple,,,,,,,"Blue Topaz|Diamond",0|1|0,"Rose Gold|White Gold|Yellow Gold",1|1|0,"14k 585|18k 750",2|1|0,Round,3|1|0,Geometric,4|1|0
"Swan Blue Topaz Mother of Pearl Diamond Earrings",swan-blue-topaz-mother-of-pearl-diamond-earrings,,28094,,,publish,,775,"2022-05-12 17:33:57",1,closed,E28176GW18V01001,,,no,no,,5000,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"https://eji.com.hk/wp-content/uploads/2022/04/E28176GW18V01001-1.jpg ! alt : Blue Topaz Mother of Pearl Swan Diamond Earrings ! title : E28176GW18V01001 ! desc :  ! caption : ",,https://eji.com.hk/product/swan-blue-topaz-mother-of-pearl-diamond-earrings/,0,,en,28094,E28176GW18V01001,,simple,,"Earrings > Gemstone Diamond Earrings","Swan Lake",,,,"Blue Topaz|Diamond|Mother of Pearl",0|0|0,"White Gold",1|0|0,"18k 750",2|0|0,,,Animal|Nature|Swan,4|0|0
"Swan Blue Topaz Mother of Pearl Diamond Necklace",swan-blue-topaz-mother-of-pearl-diamond-necklace,,28096,,,publish,,776,"2022-04-21 15:55:47",1,closed,E28176GW18V01001-1,,,no,no,,5000,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"https://eji.com.hk/wp-content/uploads/2022/04/P28176GW18V01001-1.jpg ! alt : Blue Topaz mother of pearl diamond necklace ! title : P28176GW18V01001 (1) ! desc :  ! caption : ",,https://eji.com.hk/product/swan-blue-topaz-mother-of-pearl-diamond-necklace/,0,,en,28096,E28176GW18V01001-1,,simple,,,"Swan Lake",,,,"Blue Topaz|Diamond|Mother of Pearl",0|0|0,"White Gold",1|0|0,"18k 750",2|0|0,,,Animal|Nature|Swan,4|0|0
"Swan Blue Topaz Mother of Pearl Diamond Ring",swan-blue-topaz-mother-of-pearl-diamond-ring,,28098,,,publish,,777,"2022-04-21 16:06:30",1,closed,R28176GW18V01001,,,no,no,,5000,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"https://eji.com.hk/wp-content/uploads/2022/04/R28176GW18V01001-1.jpg ! alt : Blue Topaz Mother of Pearl Swan Diamond Ring ! title : R28176GW18V01001 (1) ! desc :  ! caption : ",,https://eji.com.hk/product/swan-blue-topaz-mother-of-pearl-diamond-ring/,0,,en,28098,R28176GW18V01001,,simple,,,"Swan Lake",,,,"Blue Topaz|Diamond|Mother of Pearl",0|0|0,"White Gold",1|0|0,"18k 750",2|0|0,,,Animal|Nature|Swan,4|0|0
"Enamel Dragonfly Green Garnet Yellow Sapphire Diamond Brooch in 18K White Gold",enamel-dragonfly-green-garnet-yellow-sapphire-diamond-brooch-in-18k-white-gold,,28106,,,publish,,537,"2022-04-25 16:21:56",1,closed,P28241GW18V01001,,,no,no,,5000,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"https://eji.com.hk/wp-content/uploads/2022/04/P28241GW18V01001_web-1.jpg ! alt : GREEN GARNET YELLOW SAPP DIA ENAMEL BROOCH ! title : P28241GW18V01001_web (1) ! desc :  ! caption : ",,https://eji.com.hk/product/enamel-dragonfly-green-garnet-yellow-sapphire-diamond-brooch-in-18k-white-gold/,0,,en,28106,P28241GW18V01001,,simple,,Brooches,,,,,"Diamond|Enamel|Green garnet|Sapphire",0|0|0,"White Gold",1|0|0,"18k 750",2|0|0,Round,3|0|0,Animal|Dragonfly|Nature,4|0|0
"Enamel Dragonfly Rainbow Sapphire Diamond Brooch in 18k Yellow Gold",enamel-dragonfly-rainbow-sapphire-diamond-brooch-in-18k-yellow-gold,,28110,,,draft,,538,"2022-04-25 16:34:58",1,closed,P28243KY18V01001,,,no,no,,5000,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"https://eji.com.hk/wp-content/uploads/2022/04/P28243KY18V01001-1.jpg ! alt :  ! title : P28243KY18V01001 (1) ! desc :  ! caption : ",,https://eji.com.hk/?post_type=product&p=28110,0,,en,28110,P28243KY18V01001,,simple,,Brooches,,,,,Diamond|Enamel|Sapphire,0|0|0,"Yellow Gold",1|0|0,"18k 750",2|0|0,Round,3|0|0,Dragonfly|Nature,4|0|0
"Dragonfly Aquamarine Diamond Brooch in 18K White Gold",dragonfly-aquamarine-diamond-brooch-in-18k-white-gold,,28112,,,publish,,530,"2022-04-25 16:46:39",1,closed,P28244GW18AQ001,,,no,no,,4000,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"https://eji.com.hk/wp-content/uploads/2022/04/P28244GW18AQ001_web-1.jpg ! alt : Dragonfly Aquamarine Diamond Brooch ! title : P28244GW18AQ001_web (1) ! desc :  ! caption : ",,https://eji.com.hk/product/dragonfly-aquamarine-diamond-brooch-in-18k-white-gold/,0,,en,28112,P28244GW18AQ001,,simple,,Brooches,,,,,Aquamarine|Diamond,0|1|0,"White Gold",1|1|0,"18k 750",2|1|0,Baguettes|Marquise|Pear|Round,3|1|0,Dragonfly|Nature,4|1|0
"Enamel Dragonfly Diamond Brooch in 18K Rose Gold",enamel-dragonfly-diamond-brooch-in-18k-rose-gold,,28114,,,publish,,536,"2022-04-25 16:53:16",1,closed,P28245KP18V01001,,,no,no,,6000,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"https://eji.com.hk/wp-content/uploads/2022/04/P28245KP18V01001_web-1.jpg ! alt : Enamel dragonfly diamond brooch ! title : P28245KP18V01001_web (1) ! desc :  ! caption : ",,https://eji.com.hk/product/enamel-dragonfly-diamond-brooch-in-18k-rose-gold/,0,,en,28114,P28245KP18V01001,,simple,,Brooches,,,,,Diamond|Enamel,0|1|0,"Rose Gold",1|1|0,"18k 750",2|1|0,Round,3|1|0,Animal|Dragonfly|Nature,4|1|0
"Amethyst Ruby Diamond Necklace",amethyst-ruby-diamond-necklace,,28129,,,publish,,409,"2021-11-27 11:11:21",1,closed,P27753KP18V01001,,,no,no,,5000,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"https://eji.com.hk/wp-content/uploads/2022/04/P27753KP18V01001-1.jpg ! alt : amethyst diamond ruby necklace ! title : P27753KP18V01001 (1) ! desc :  ! caption : ",,https://eji.com.hk/product/amethyst-ruby-diamond-necklace/,0,,en,28129,P27753KP18V01001,,simple,,,,,,,Amethyst|Diamond|Ruby,0|1|0,"Rose Gold",1|1|0,"18k 750",2|1|0,Round,3|1|0,,
"Enamel Sapphire Dragonfly Diamond Brooch in 18K Rose Gold",enamel-sapphire-dragonfly-diamond-brooch-in-18k-rose-gold,,28148,,,publish,,544,"2022-05-10 14:19:10",1,closed,P28242KP18V01,,,no,no,,6000,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"https://eji.com.hk/wp-content/uploads/2022/05/P28242KP18V01_a.jpg ! alt : enamel sapphire dragon fly diamond brooch ! title : P28242KP18V01_a ! desc :  ! caption : ",,https://eji.com.hk/product/enamel-sapphire-dragonfly-diamond-brooch-in-18k-rose-gold/,0,,en,28148,P28242KP18V01,,simple,,Brooches,,,,,Diamond|Enamel|Sapphire,0|1|0,"Rose Gold",1|1|0,"18k 750",2|1|0,Round,3|1|0,Animal|Dragonfly|Nature,4|1|0
"Enamel Diamond Dragonfly Brooch in 18K White Gold",enamel-diamond-dragonfly-brooch-in-18k-white-gold,,28150,,,publish,,533,"2022-05-10 17:20:47",1,closed,P28246KW18V01001,,,no,no,,6000,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"https://eji.com.hk/wp-content/uploads/2022/05/P28246KW18V01001B_a.jpg ! alt : Enamel Diamond Dragonfly Brooch in 18K White Gold ! title : P28246KW18V01001B_a ! desc :  ! caption : ",,https://eji.com.hk/product/enamel-diamond-dragonfly-brooch-in-18k-white-gold/,0,,en,28150,P28246KW18V01001,,simple,,Brooches,,,,,Diamond|Enamel,0|1|0,"Rose Gold",1|1|0,"18k 750",2|1|0,Round,3|1|0,Animal|Dragonfly|Nature,4|1|0
