post_title,post_name,post_parent,ID,post_content,post_excerpt,post_status,post_password,menu_order,post_date,post_author,comment_status,sku,parent_sku,children,downloadable,virtual,stock,regular_price,sale_price,weight,length,width,height,tax_class,visibility,stock_status,backorders,sold_individually,low_stock_amount,manage_stock,tax_status,upsell_ids,crosssell_ids,purchase_note,sale_price_dates_from,sale_price_dates_to,download_limit,download_expiry,product_url,button_text,images,downloadable_files,product_page_url,tax:product_type,tax:product_visibility,tax:product_cat,tax:product_tag,tax:product_shipping_class,attribute:pa_material,attribute_data:pa_material,attribute_default:pa_material,attribute:pa_metal,attribute_data:pa_metal,attribute_default:pa_metal,attribute:pa_metal-purity,attribute_data:pa_metal-purity,attribute_default:pa_metal-purity,attribute:pa_shape,attribute_data:pa_shape,attribute_default:pa_shape,attribute:pa_style,attribute_data:pa_style,attribute_default:pa_style
"Cancer Necklace in 18K Rose Gold with Diamond and Sapphire",cancer-necklace-in-18k-rose-gold-with-diamond-and-sapphire,,26786,"Cancer Necklace from the Zodiac Collection
<ul>
 	<li>750 gold</li>
 	<li>Diamond</li>
 	<li>Sapphire</li>
 	<li>Customisable</li>
</ul>
Style: P31905KP18SA",,publish,,44,"2022-01-21 14:33:12",2,closed,P31905KP18SA,,,no,no,,500,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"https://eji.com.hk/wp-content/uploads/2022/01/P31905KP18SA-巨蟹座.jpg ! alt : cancer zodiac necklace in 18k rose gold diamond sapphire ! title : P31905KP18SA cancer zodiac necklace in 18k rose gold diamond sapphire ! desc :  ! caption :  | https://eji.com.hk/wp-content/uploads/2022/01/P31905KP18SA-巨蟹座-scale.jpg ! alt : cancer necklace in 18k rose gold diamond sapphire ! title : P31905KP18SA cancer necklace in 18k rose gold diamond sapphire-scale ! desc :  ! caption : ",,https://eji.com.hk/product/cancer-necklace-in-18k-rose-gold-with-diamond-and-sapphire/,simple,,"Necklaces & Pendants > Diamond Necklaces|Necklaces & Pendants > Gemstone Necklaces|Necklaces & Pendants",zodiac,,Diamond|Sapphire,0|1|0,,"Rose Gold",2|1|0,,"14k 585|18k 750",1|1|0,,,,,,,
"Gemini Necklace in 18K Rose Gold with Diamond and Fancy Sapphire",gemini-necklace-in-18k-rose-gold-with-diamond-and-fancy-sapphire,,26788,"Gemini Necklace from the Zodiac Collection
<ul>
 	<li>750 gold</li>
 	<li>Diamond</li>
 	<li>Fancy sapphire</li>
 	<li>Customisable</li>
</ul>
Style: P31904KP18SP",,publish,,188,"2022-01-21 14:39:24",2,closed,P31904KP18SP,,,no,no,,500,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"https://eji.com.hk/wp-content/uploads/2022/01/P31904KP18SP-双子座.jpg ! alt : Gemini 18k rose gold diamond fancy sapphire ! title : P31904KP18SP gemini 18k rose gold diamond fancy sapphire ! desc :  ! caption :  | https://eji.com.hk/wp-content/uploads/2022/01/P31904KP18SP-双子座-scale.jpg ! alt :  ! title : P31904KP18SP 双子座-scale ! desc :  ! caption : ",,https://eji.com.hk/product/gemini-necklace-in-18k-rose-gold-with-diamond-and-fancy-sapphire/,simple,,"Necklaces & Pendants > Diamond Necklaces|Necklaces & Pendants > Gemstone Necklaces|Necklaces & Pendants",zodiac,,Diamond|Sapphire,0|1|0,,"Rose Gold",2|1|0,,"14k 585|18k 750",1|1|0,,,,,,,
"Taurus Necklace in 18K Rose Gold with Diamond and Green Garnet",taurus-necklace-in-18k-rose-gold-with-diamond-and-green-garnet,,26790,"Gemini Necklace from the Zodiac Collection
<ul>
 	<li>750 gold</li>
 	<li>Diamond</li>
 	<li>Green garnet</li>
 	<li>Customisable</li>
</ul>
Style: P31903KP18GG",,publish,,387,"2022-01-21 14:42:46",2,closed,P31903KP18GG,,,no,no,,500,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"https://eji.com.hk/wp-content/uploads/2022/01/P31903KP18GG-金牛座.jpg ! alt : Taurus necklace in 18k rose gold diamond green garnet ! title : P31903KP18GG Taurus necklace in 18k rose gold diamond green garnet ! desc :  ! caption :  | https://eji.com.hk/wp-content/uploads/2022/01/P31903KP18GG-金牛座-scale.jpg ! alt : Taurus necklace in 18k rose gold diamond green garnet scale ! title : P31903KP18GG Taurus necklace in 18k rose gold diamond green garnet-scale ! desc :  ! caption : ",,https://eji.com.hk/product/taurus-necklace-in-18k-rose-gold-with-diamond-and-green-garnet/,simple,,"Necklaces & Pendants > Diamond Necklaces|Necklaces & Pendants > Gemstone Necklaces|Necklaces & Pendants",zodiac,,"Diamond|Green garnet",0|1|0,,"Rose Gold",2|1|0,,"14k 585|18k 750",1|1|0,,,,,,,
"Aries Necklace in 18K Rose Gold with Diamond and Ruby",aries-necklace-in-18k-rose-gold-with-diamond-and-ruby,,26792,"Aries Necklace from the Zodiac Collection
<ul>
 	<li>750 gold</li>
 	<li>Diamond</li>
 	<li>Ruby</li>
 	<li>Customisable</li>
</ul>
Style: P31902KP18RB",,publish,,19,"2022-01-21 14:45:16",2,closed,P31902KP18RB,,,no,no,,500,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"https://eji.com.hk/wp-content/uploads/2022/01/P31902KP18RB-白羊座.jpg ! alt : Aries Necklace in 18K Rose Gold with Diamond and Ruby ! title : P31902KP18RB Aries Necklace in 18K Rose Gold with Diamond and Ruby ! desc :  ! caption :  | https://eji.com.hk/wp-content/uploads/2022/01/P31902KP18RB-白羊座-scale.jpg ! alt : Aries Necklace in 18K Rose Gold with Diamond and Ruby scale ! title : P31902KP18RB Aries Necklace in 18K Rose Gold with Diamond and Ruby-scale ! desc :  ! caption : ",,https://eji.com.hk/product/aries-necklace-in-18k-rose-gold-with-diamond-and-ruby/,simple,,"Necklaces & Pendants > Diamond Necklaces|Necklaces & Pendants > Gemstone Necklaces|Necklaces & Pendants",zodiac,,Diamond|Ruby,0|1|0,,"Rose Gold",2|1|0,,"14k 585|18k 750",1|1|0,,,,,,,
"Mother of Pearl Diamond Bangle in 18K Rose Gold",slim-mother-of-pearl-diamond-bangle-in-18k-rose-gold,,27192,"Mother of Pearl Diamond Bangle
<ul>
 	<li>Stackable bangle</li>
 	<li>Solid gold</li>
 	<li>24 round diamonds 0.13 ct. tw.</li>
 	<li>1 mother of pearl 0.66 ct. tw.</li>
 	<li>Customisable</li>
</ul>",,publish,,267,"2022-03-16 10:40:49",2,closed,B27706KP18MW001,,,no,no,,530,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"https://eji.com.hk/wp-content/uploads/2022/03/B27706KP18MW001.jpg ! alt : Mother of Pearl Diamond Bangle ! title : B27706KP18MW001 ! desc :  ! caption : ",,https://eji.com.hk/product/slim-mother-of-pearl-diamond-bangle-in-18k-rose-gold/,simple,,"Bracelets & Bangles",,,"Diamond|Mother of Pearl",0|0|0,,,,,,,,,,,Geometric,1|0|0,
"Mother of Pearl Diamond Bangle",mother-of-pearl-diamond-bangle,,27193,"Mother of Pearl Diamond Bangle
<ul>
 	<li>Solid gold</li>
 	<li>Mother of pearl heart 0.2 ct.</li>
 	<li><span style=""letter-spacing: 0px;"">29 Round Diamond 0.14 ct.</span></li>
 	<li>Customisable</li>
</ul>",,publish,,266,"2022-03-16 10:40:49",2,closed,B27702KP18MW001,,,no,no,,495,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"https://eji.com.hk/wp-content/uploads/2022/03/B27702KP18MW001.jpg ! alt : White Mother of Pearl Diamond Bangle ! title : B27702KP18MW001 ! desc :  ! caption : ",,https://eji.com.hk/product/mother-of-pearl-diamond-bangle/,simple,,"Bracelets & Bangles",,,"Diamond|Mother of Pearl",0|0|0,,"Rose Gold",1|0|0,,"18k 750",2|0|0,,,,,Flower|Heart,3|1|0,
"Citrine Diamond Earrings",citrine-diamond-earrings,,27743,"Citrine Diamond Earrings
<ul>
 	<li>From the Jolly collection</li>
 	<li>Solid gold</li>
 	<li>54 round diamond 0.32 ct. tw.</li>
 	<li>2 Citrine 11.62 ct. tw.</li>
 	<li>Prong/claw setting</li>
 	<li>Customisable</li>
</ul>
&nbsp;",,publish,,64,"2022-04-12 15:06:22",2,closed,E39507GA18CT001,,,no,no,,830,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"https://eji.com.hk/wp-content/uploads/2022/04/E39507GA18CT001_white-and-yellow.jpg ! alt : citrine diamond ring ! title : E39507GA18CT001 ! desc :  ! caption : ",,https://eji.com.hk/product/citrine-diamond-earrings/,simple,,"Earrings > Diamond Earrings|Earrings > Gemstone Earrings|Earrings",jolly,,Citrine|Diamond,0|1|0,,"White Gold|Yellow Gold",1|1|0,,,,,,,,Geometric,2|1|0,
"Green Garnet Sapphire Diamond Earrings in 18K Yellow Gold",green-garnet-sapphire-diamond-earrings-in-18k-yellow-gold,,27928,"Green Garnet Sapphire Diamond Earrings in 18K Yellow Gold
<ul>
 	<li>From the Wonderland collection</li>
 	<li>Kaleidoscope-inspired</li>
 	<li>Solid gold</li>
 	<li>64pcs round diamonds 0.39ct.</li>
 	<li>16pcs round green garnet 0.25ct.</li>
 	<li>16pcs marquise sapphire 1.43ct.</li>
 	<li>2pcs round sapphire 0.16ct.</li>
 	<li>Customisable</li>
</ul>",,publish,,200,"2022-04-20 10:47:05",2,closed,E28280KY18V01001,,,no,no,,3500,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"https://eji.com.hk/wp-content/uploads/2022/04/E28280KY18V01001.jpg ! alt : kaleidoscope inspired earrings in 18k yellow gold sapphire garnet ! title : E28280KY18V01001 ! desc :  ! caption : ",,https://eji.com.hk/product/green-garnet-sapphire-diamond-earrings-in-18k-yellow-gold/,simple,,"Earrings > Diamond Earrings|Earrings > Gemstone Earrings|Earrings > Stud Earrings|Earrings",Wonderland,,"Diamond|Green garnet|Sapphire",0|0|0,,"Yellow Gold",1|0|0,,"18k 750",2|0|0,,Marquise|Round,3|0|0,,,,
"Rainbow Sapphire Ruby Diamond Earrings in 18K Rose Gold",rainbow-sapphire-ruby-diamond-earrings-in-18k-rose-gold,,27930,"Rainbow Sapphire Ruby Diamond Earrings in 18K Rose Gold
<ul>
 	<li>From the Wonderland collection</li>
 	<li>Kaleidoscope-inspired</li>
 	<li>Solid gold</li>
 	<li>36pcs round diamonds 0.29ct.</li>
 	<li>8pcs marquise ruby 0.78</li>
 	<li>10pcs round ruby 0.34ct.</li>
 	<li>8pcs marquise orange sapphire 0.77ct</li>
 	<li>24pcs round pink sapphire 0.37ct.</li>
 	<li>Customisable</li>
</ul>",,publish,,325,"2022-04-20 10:48:51",2,closed,E28277KP18V01001,,,no,no,,3500,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"https://eji.com.hk/wp-content/uploads/2022/04/E28277KP18V01001_ls.jpg ! alt : ruby sapphire diamond earrings in 18k rose gold ! title : E28277KP18V01001_ls ! desc :  ! caption : ",,https://eji.com.hk/product/rainbow-sapphire-ruby-diamond-earrings-in-18k-rose-gold/,simple,,"Earrings > Diamond Earrings|Earrings > Gemstone Earrings|Earrings > Stud Earrings|Earrings",Wonderland,,Diamond|Ruby|Sapphire,0|0|0,,"Rose Gold",1|0|0,,"18k 750",2|0|0,,Marquise|Round,3|0|0,,,,
"Rainbow Sapphire Ruby Diamond Necklace in 18K Rose Gold",rainbow-sapphire-ruby-diamond-necklace-in-18k-rose-gold,,27932,"Rainbow Sapphire Ruby Diamond Necklace in 18K Rose Gold
<ul>
 	<li>From the Wonderland collection</li>
 	<li>Kaleidoscope-inspired, rotatable pendant</li>
 	<li>Solid gold</li>
 	<li>18pcs round diamond 0.22ct. tw.</li>
 	<li>4pcs pear ruby 0.69ct. tw.</li>
 	<li>1pcs round ruby 0.21ct.</li>
 	<li>4pcs pear shaped orange sapphire 0.70ct. tw.</li>
 	<li>16pcs round orange sapphire 0.24ct. tw.</li>
 	<li>8pcs marquise pink sapphire 0.69ct. tw.</li>
 	<li>8pcs round pink sapphire 0.34ct. tw.</li>
 	<li>Customisable</li>
</ul>",,publish,,326,"2022-04-20 11:05:51",2,closed,P28275KP18V01001,,,no,no,,3500,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"https://eji.com.hk/wp-content/uploads/2022/04/P28275KP18V01001-min.jpg ! alt : rainbow sapphire diamond necklace in 18k rose gold ! title : P28275KP18V01001 ! desc :  ! caption : ",,https://eji.com.hk/product/rainbow-sapphire-ruby-diamond-necklace-in-18k-rose-gold/,simple,,"Necklaces & Pendants > Diamond Necklaces|Necklaces & Pendants > Gemstone Necklaces|Necklaces & Pendants",Wonderland,,Diamond|Ruby|Sapphire,0|0|0,,"Rose Gold",1|0|0,,"18k 750",2|0|0,,Marquise|Round,3|0|0,,,,
